course_name,original_link,actual_link,group_idx,category_idx,teach_idx,target,location,schedule
"[초등 3,4]대학생 멘토와 10일의 기적! ...",#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=31&teach_idx=5165&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,31,0,5165,대상 : 초등 3~4학년 5명,장소 : 3층 다락방,"2025-08-06 ~ 2025-08-21 10:00 ~ 10:40 (화 , 수 , 목 , 금 , 토)"
"[초등 1,2]대학생 멘토와 10일의 기적! ...",#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=31&teach_idx=5164&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,31,0,5164,대상 : 초등 1~2학년 5명,장소 : 3층 다락방,"2025-08-06 ~ 2025-08-21 11:00 ~ 11:40 (화 , 수 , 목 , 금 , 토)"
제2회 여름 영어독서 캠프 추가모집,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=31&teach_idx=5166&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,31,0,5166,대상 : 초등 4~6학년 3명,장소 : 다목적실 및 자료실,"2025-08-06 ~ 2025-08-08 13:00 ~ 17:00 (수 , 목 , 금)"
이건범 작가와의 만남,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=56&teach_idx=5131&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,56,0,5131,대상 : 관심 있는 성인 30명,장소 : 3층 문화교실,2025-08-19 10:00 ~ 12:00 (화)
"[취미나눔] 우린, 뜨게 될 사이",#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=5158&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,5158,대상 : 성인 5명,장소 : 4층 세미나실,"2025-08-27 ~ 2025-09-17 10:00 ~ 12:00 (수 , 금)"
엄마와 함께하는 그림책 여행,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=59&teach_idx=5162&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,59,0,5162,대상 : 다문화 가정 부모 & 자녀(2인1팀) 10명,장소 : 4층 프로그램실,2025-08-24 ~ 2025-09-28 10:00 ~ 12:00 (일)
"궁궐탐정단, 비밀의 문을 열다",#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=59&teach_idx=5159&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,59,0,5159,대상 : 초등 2-4학년 16명,장소 : 프로그램실,"2025-08-05 ~ 2025-08-08 14:30 ~ 16:00 (화 , 수 , 금)"
한강 작가 명작 3선 함께 읽기 - 채식주의자,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=5146&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,5146,대상 : 성인 20명,장소 : 카카오톡/까망돌도서관 세미나실,2025-08-12 ~ 2025-08-29 10:00 ~ 12:00 (금)
[8월] 책짝꿍 : 책 읽어주세요,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=33&teach_idx=5129&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,33,0,5129,대상 : 유아 및 아동 6명,장소 : 동작샘터도서관 이야기방,2025-08-09 ~ 2025-08-23 14:00 ~ 16:00 (토)
[8월] 우리 문화 역사 이야기,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=33&teach_idx=5128&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,33,0,5128,대상 : 초등 2~4학년 8명,장소 : 동작샘터도서관 이야기방,2025-08-23 ~ 2025-08-30 10:30 ~ 12:00 (토)
[8월]샘터 다문화 살롱,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=33&teach_idx=5127&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,33,0,5127,대상 : 성인 12명,장소 : 동작샘터도서관 이야기방,2025-08-27 10:00 ~ 12:00 (수)
[길위의인문학]좋아하는 그림책 옆에 더 좋아하...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=59&teach_idx=5012&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,59,0,5012,대상 : 초등3-4학년 30명,장소 : 프로그램실,2025-08-03 ~ 2025-08-23 10:30 ~ 12:30 (일)
주말 책놀이(8월),#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=56&teach_idx=5123&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,56,0,5123,대상 : 초등학교 1~3학년 12명,장소 : 3층 문화교실,2025-08-10 10:00 ~ 11:00 (일)
예술 오아시스 0.6 : 이야기로 움직이는 성,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=57&teach_idx=5134&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,57,0,5134,대상 : 초등 2-3학년 아동 및 성인 보호자 6명,장소 : 김영삼도서관 지하 3층 봄봄,2025-08-10 ~ 2025-09-14 13:00 ~ 16:00 (일)
[뒷반][8월] 아이와 함께 꼼지락 책놀이터,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=57&teach_idx=5133&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,57,0,5133,"대상 : 영유아(4~6세, 19~21년생) 및 보호자 10팀 10명",장소 : 김영삼도서관 지하 2층 난쏘공,2025-08-16 14:50 ~ 15:30 (토)
[앞반][8월] 아이와 함께 꼼지락 책놀이터,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=57&teach_idx=5132&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,57,0,5132,"대상 : 영유아(4~6세, 19~21년생) 및 보호자 10팀 10명",장소 : 김영삼도서관 지하 2층 난쏘공,2025-08-16 14:00 ~ 14:40 (토)
2025 까망돌도서관 여름독서교실《똘망똘망》,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=5130&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,5130,대상 : 어린이(초등3~4학년) 15명,장소 : 까망돌도서관 B1 공연장,"2025-08-12 ~ 2025-08-14 10:00 ~ 12:00 (화 , 수 , 목)"
'나는 뚱뚱하다' 최승한 작가와의 만남,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=57&teach_idx=5085&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,57,0,5085,대상 : 초등 고학년(4~6학년) 30명,장소 : 김영삼도서관 지하 2층 난쏘공,2025-08-09 14:00 ~ 16:00 (토)
미세플라스틱과 환경문제,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=57&teach_idx=5112&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,57,0,5112,대상 : 초등학교 2~4학년 20명,장소 : 김영삼도서관 지하 2층 난쏘공,2025-08-13 ~ 2025-08-27 15:00 ~ 17:00 (수)
그림책 읽어줘용 (8/9),#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=5125&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,5125,대상 : 5~7세 어린이 5명,장소 : 까망돌도서관 3층 창작공작실,2025-08-09 10:30 ~ 11:30 (토)
[8월] 패밀리가 도서관에 떴다!,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=57&teach_idx=5155&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,57,0,5155,대상 : 초등 저학년 아동을 포함한 가족 15명,장소 : 지하 3층 대강당,2025-08-16 14:00 ~ 15:30 (토)
